Parser errors:
IOService.h: (1074:29) Unable to convert: '>'
IOService.h: (1074:31) Unable to convert: 'table'
IOService.h: (1074:36) Unable to convert: ')'
IOService.h: (1074:37) Unable to convert: ';'
IOService.h: (1084:1) Unable to convert: 'static'
IOService.h: (1084:8) Unable to convert: 'OSDictionary'
IOService.h: (1084:21) Unable to convert: '*'
IOService.h: (1084:23) Unable to convert: 'registryEntryIDMatching'
IOService.h: (1084:46) Unable to convert: '('
IOService.h: (1084:48) Unable to convert: 'uint64_t'
IOService.h: (1084:57) Unable to convert: 'entryID'
IOService.h: (1073:20) Unable to convert: 'OSDictionary'
IOService.h: (1073:19) Unable to convert: <
IOService.h: (1073:8) Unable to convert: 'OSSharedPtr'
IOService.h: (1073:1) Unable to convert: 'static'
IOService.h: (1049:29) Unable to convert: '>'
IOService.h: (1049:31) Unable to convert: 'table'
IOService.h: (1049:36) Unable to convert: ')'
IOService.h: (1049:37) Unable to convert: ';'
IOService.h: (1061:1) Unable to convert: 'static'
IOService.h: (1061:8) Unable to convert: 'OSPtr'
IOService.h: (1061:13) Unable to convert: <
